"time","Spot_Price","Solar_photovoltaic","Combined_cycle","Other_renewables","input_baleares","Cogeneration","Steam_turbine"
2014-09-29,64.89,18.088375,118.073452,11.822364,4450.033,72.776114,6.13208
2014-09-30,68.39,21.830116,105.612054,11.782285,4308.466,75.94619,6.737628
2014-10-01,47.9,19.263727,77.861869,11.242523,4362.983,74.728184,6.633517
2014-10-02,46,21.111696,90.15718,10.862969,4415.386,73.97595,6.835132
2014-10-03,64.16,25.25378,100.044076,10.332517,4349.895,75.175611,5.919802
2014-10-04,67.93,22.488,64.225767,10.891851,3846.527,68.123221,5.267291
2014-10-05,44.27,23.1004,53.777025,10.981566,3277.844,63.662007,4.567578
2014-10-06,43.52,24.786417,62.531149,11.124152,4056.912,70.581788,6.010908
2014-10-07,30,23.36106,62.256103,10.698375,3895.473,69.577859,6.088386
2014-10-08,38.99,21.539163,60.256038,11.007803,4025.981,70.411908,6.208323
2014-10-09,32.53,17.556953,93.341591,11.562536,4235.803,71.692867,6.106209
2014-10-10,67.2,14.860658,108.272939,10.341791,4436.813,74.901459,6.01855
2014-10-11,69.91,15.846226,69.210477,8.757255,3680.813,67.987139,5.304731
2014-10-12,64.27,15.641637,51.598129,7.481579,3209.932,54.726894,4.574714
2014-10-13,41.14,14.334254,78.283304,7.518331,3518.856,63.01353,5.274977
2014-10-14,40,16.302996,93.237773,7.874816,3144.313,67.424731,5.572966
2014-10-15,30,13.205453,58.582197,8.0206,2315.519,68.975625,5.789249
2014-10-16,29.87,20.026877,58.873248,8.987426,3186.433,66.85453,5.870064
2014-10-17,30.02,25.02607,58.481339,8.374023,3198.83,68.821789,6.338831
2014-10-18,41.26,23.627114,52.832862,8.892961,3097.872,60.270336,5.481755
2014-10-19,49.01,21.642153,62.717827,9.077426,2747.822,55.96406,4.359729
2014-10-20,33.5,22.456221,124.581672,9.071948,2128.075,67.478491,6.20019
2014-10-21,67.26,22.94849,115.584852,9.325134,2129.761,72.094002,6.200843
2014-10-22,36.12,24.900072,84.97726,8.753704,2166.739,70.44766,6.500919
2014-10-23,59.94,24.75454,87.522066,9.011893,3058.041,73.320348,6.559388
2014-10-24,44.92,23.719051,91.804824,9.926962,2915.266,72.461968,6.560836
2014-10-25,63.69,23.727123,71.61713,9.828487,2417.04,65.925048,4.745867
2014-10-26,54.87,22.786915,80.617842,9.524828,2289.254,63.856116,3.759737
2014-10-27,60.12,21.724112,102.189181,9.783664,2389.565,70.865102,4.300232
2014-10-28,53.28,18.428565,100.371888,9.80141,2896.387,70.271459,4.221505
2014-10-29,46.98,21.152687,116.697523,10.569224,3176.928,71.511744,4.215475
2014-10-30,59.94,21.636368,99.528691,10.462535,3258.274,71.711736,4.262776
2014-10-31,43.11,20.73142,77.451407,10.40867,3229.243,70.645693,4.03066
2014-11-01,56.71,18.898575,80.841002,9.992601,2777.328,63.413666,4.344608
2014-11-02,54.87,15.524068,76.364727,10.108704,2249.338,57.7827,3.763423
2014-11-03,46.54,15.173687,64.22311,9.960301,3110.4,66.233272,4.734815
2014-11-04,29.18,12.141794,76.777596,9.570335,3042.878,66.614667,5.145485
2014-11-05,35.81,20.962133,84.518215,9.8651,2866.536,68.726365,4.7889
2014-11-06,59.53,19.694336,85.527425,9.775921,2884.723,70.907632,5.02659
2014-11-07,28.21,12.017681,90.376642,9.63961,2846.016,69.864032,5.170968
2014-11-08,59.94,9.955588,67.865126,9.369298,2403.13,63.362024,4.438589
2014-11-09,44.83,15.782954,80.847996,9.207647,2097.533,60.896988,3.920231
2014-11-10,57.59,19.117303,95.919132,8.975676,2743.675,70.707128,4.891838
2014-11-11,39.8,7.614396,70.546895,9.204552,2738.059,68.629229,5.077099
2014-11-12,25.14,13.030691,79.373173,9.284287,2688.207,65.86151,4.930972
2014-11-13,39,10.283924,61.495304,9.219266,2596.925,68.23788,5.058409
2014-11-14,29.58,9.450996,72.381078,9.615099,2680.689,68.944964,5.099621
2014-11-15,35.14,15.581045,47.041804,9.477321,2461.191,52.812747,5.465136
2014-11-16,15.3,14.969198,33.25844,9.137809,2223.979,47.942115,4.836555
2014-11-17,24.49,16.416322,91.426219,9.264457,2766.614,63.979494,5.936572
2014-11-18,61.7,17.974871,93.026346,9.414155,2729.247,68.068518,6.03176
2014-11-19,45,16.518513,84.95724,9.041478,2867.356,68.97516,6.599427
2014-11-20,38.4,14.805391,61.633484,9.157761,2862.907,66.698815,6.565988
2014-11-21,39.34,10.302591,75.36023,9.592919,2884.465,69.059161,7.433442
2014-11-22,45.6,8.230059,54.108051,9.921204,2436.22,59.070793,7.316238
2014-11-23,37.5,7.884266,55.292171,9.327251,2212.661,51.67988,6.077351
2014-11-24,43.82,13.361313,114.808008,9.664687,2821.004,67.352864,6.854117
2014-11-25,63.69,8.296494,131.106216,10.019225,2675.375,71.555425,6.518389
2014-11-26,65.73,11.560864,112.572648,10.07798,2699.525,70.613055,6.90413
2014-11-27,49.64,7.015542,74.344242,9.818294,2761.647,69.669917,6.945887
2014-11-28,22,5.750946,68.235296,9.730085,2802.081,66.080502,6.691668
2014-11-29,46.5,9.709109,51.883088,10.562688,2416.997,60.360918,5.988228
2014-11-30,29.98,7.396371,51.9115,10.094574,2205.231,50.705313,6.217487
2014-12-01,26.21,14.06609,55.132229,9.109492,1892.634,63.533276,6.8286
2014-12-02,29.5,16.448063,58.058443,9.27032,1924.776,69.490144,6.844779
2014-12-03,43.5,10.492457,91.862856,9.977214,2070.608,71.827975,6.593573
